Bunk Room,,,,,,,
Item,Small Rm Qnty,Mid Rm Qnty,Large Rm Qnty,Budget $/Item,Mid $/Item,Mid/High $/Item,High $/Item
Bunk Bed,2,2,4,"$1,200.00","$2,500.00","$4,000.00","$6,000.00"
Mattress,4,4,8,$250.00,$600.00,"$1,500.00","$4,000.00"
Mattress protector,4,4,8,$20.00,$20.00,,
Sleeping Pillows,8,8,16,$15.00,$15.00,,
Down Pillows,8,8,16,$25.00,$25.00,,
Pillow protectors,8,8,16,$5.00,$5.00,,
Sheets,4,4,8,$30.00,$30.00,,
Decorative Bedding,4,4,8,$200.00,$200.00,,
Throw Pillows,8,8,16,$35.00,$35.00,,
Throw Blanket on Bed,4,4,8,$35.00,$35.00,,
Bench or Stools,1,2,2,$200.00,$200.00,,
Area Rug,1,1,2,$350.00,$350.00,,
Nightstands,0,1,2,$350.00,$350.00,,
Lamps,0,1,2,$100.00,$100.00,,
Nightstand Accessories,0,4,8,$20.00,$20.00,,
Curtain Set,1,2,3,$65.00,$65.00,,
Curtain Rod,1,2,3,$40.00,$40.00,,
Wall art,4,4,6,$100.00,$100.00,,
Mirror,1,1,1,$200.00,$500.00,"$1,500.00","$3,000.00"
TV,1,1,1,$400.00,$400.00,,
TV mount,1,1,1,$200.00,$200.00,,
Bean Bag,2,4,6,$150.00,$300.00,$600.00,"$1,000.00"
Dresser,0,1,1,$800.00,"$1,500.00","$3,000.00","$6,000.00"
Dresser Accessories,0,3,3,$25.00,$60.00,$150.00,$300.00
Bookshelf,0,1,1,$250.00,$800.00,"$1,500.00","$3,000.00"
Desk,0,0,1,$300.00,"$1,000.00","$2,500.00","$5,000.00"
Desk Chair,0,0,1,$200.00,$600.00,"$1,200.00","$3,000.00"
Desk Accessories,0,0,3,$30.00,$60.00,$150.00,$300.00
Game Table,0,0,1,$600.00,"$1,500.00","$3,000.00","$8,000.00"
Games,0,0,4,$25.00,$50.00,$100.00,$300.00
,,,,Budget Pricing,Mid Pricing,Mid/High Pricing,High Pricing
,,Small Room Totals:,,"$7,335.00","$11,935.00","$16,700.00","$33,000.00"
,,Medium Room Totals:,,"$9,595.00","$15,850.00","$22,850.00","$44,900.00"
,,Large Room Totals:,,"$17,550.00","$30,295.00","$45,600.00","$93,000.00"
