Rec Room,,,,,,,
Item,Small Rm Qnty,Mid Rm Qnty,Large Rm Qnty,Budget Price,Mid Price,Mid/High Price,High Price
Sofa/Sectional,1,2,2,"$2,000.00","$1,600.00","$1,600.00","$1,600.00"
Chair,2,2,4,$600.00,$600.00,$600.00,$600.00
Coffee Table,1,1,1,$800.00,$800.00,$800.00,$800.00
Side Table,2,4,4,$150.00,$150.00,$150.00,$150.00
TV Console,1,1,2,"$1,000.00","$1,000.00","$1,000.00","$1,000.00"
TV,1,1,2,$600.00,$600.00,$600.00,$600.00
TV Mount,1,1,2,$200.00,$200.00,$200.00,$200.00
Area Rug,1,1,2,$500.00,$500.00,$500.00,$500.00
Lamps (Table/Floor),2,3,4,$150.00,$150.00,$150.00,$150.00
Throw Pillows,5,8,12,$35.00,$35.00,$35.00,$35.00
Throw Blanket,3,5,8,$35.00,$35.00,$35.00,$35.00
Curtains,1,2,3,$65.00,$65.00,$65.00,$65.00
Curtain Rod,1,2,3,$40.00,$40.00,$40.00,$40.00
Wall Art,2,4,6,$100.00,$100.00,$100.00,$100.00
Greenery,1,2,3,$200.00,$200.00,$200.00,$200.00
Large Game Table,1,2,3,"$1,500.00","$3,000.00","$8,000.00","$10,000.00"
Desk,0,1,2,$300.00,$300.00,$300.00,$300.00
Desk Chair,0,1,2,$200.00,$200.00,$200.00,$200.00
Desk Accessories,0,3,6,$30.00,$30.00,$30.00,$30.00
Bookshelf,0,1,2,$500.00,$500.00,$500.00,$500.00
,,,,Budget Pricing,Mid Pricing,Mid/High Pricing,High Pricing
,,Small Room Totals:,,"$9,785.00","$4,600.00","$8,000.00","$10,000.00"
,,Medium Room Totals:,,"$15,805.00","$9,200.00","$16,000.00","$20,000.00"
,,Large Room Totals:,,"$23,095.00","$12,200.00","$24,000.00","$30,000.00"
