Single Bedroom,,,,,,,
Item,Small Rm Qnty,Mid Rm Qnty,Large Rm Qnty,Budget Price,Mid Price,Mid/High Price,High Price
Bed Frame,1,1,1,$500.00,"$1,500.00","$1,500.00","$1,500.00"
Mattress,1,1,1,"$1,300.00","$2,800.00","$2,800.00","$2,800.00"
Mattress protector,1,1,1,$20.00,$50.00,$50.00,$50.00
Sleeping Pillows,2,2,2,$15.00,$30.00,$30.00,$30.00
Down Pillows,2,2,2,$25.00,$50.00,$50.00,$50.00
Pillow protectors,2,2,2,$5.00,$15.00,$15.00,$15.00
Sheets,1,1,1,$30.00,$80.00,$150.00,$300.00
Decorative Bedding,1,1,1,$200.00,$350.00,$500.00,"$1,000.00"
Throw Pillows,3,3,3,$35.00,$80.00,$125.00,$300.00
Throw Blanket on Bed,1,1,1,$35.00,$100.00,$200.00,$300.00
Bench or Stools,1,1,1,$200.00,$800.00,"$1,500.00","$3,000.00"
Area Rug,1,1,2,$350.00,$800.00,"$1,500.00","$3,000.00"
Nightstands,2,2,2,$350.00,$700.00,"$1,500.00","$4,000.00"
Lamps,2,2,2,$100.00,$200.00,$350.00,$800.00
Nightstand Accessories,8,8,8,$20.00,$60.00,$150.00,$400.00
Curtain Set,1,2,3,$65.00,$140.00,$200.00,$400.00
Curtain Rod,1,2,3,$40.00,$60.00,$100.00,$300.00
Wall art,3,4,5,$100.00,$300.00,$800.00,"$2,000.00"
Mirror,1,1,1,$200.00,$500.00,"$1,000.00","$3,000.00"
TV,1,1,1,$400.00,$700.00,"$1,500.00","$3,000.00"
TV mount + install,1,1,1,$200.00,$300.00,$300.00,$500.00
Chair,0,1,2,$350.00,$800.00,"$1,500.00","$3,000.00"
Chair Throw Pillow,0,1,2,$35.00,$80.00,$125.00,$300.00
Chair Throw Blanket,0,1,2,$35.00,$100.00,$400.00,$800.00
Side Table,0,1,1,$150.00,$500.00,"$1,500.00","$3,000.00"
Greenery,0,1,1,$80.00,$250.00,$500.00,$800.00
Floor Lamp,0,1,1,$150.00,$300.00,$800.00,"$2,000.00"
Dresser,0,0,1,$800.00,"$1,500.00","$3,000.00","$6,000.00"
Dresser Accessories,0,0,4,$25.00,$80.00,$150.00,$400.00
,,,,Budget Pricing,Mid Pricing,Mid/High Pricing,High Pricing
,,Small Room Totals:,,"$5,095.00","$11,790.00","$14,652.00","$34,536.00"
,,Medium Room Totals:,,"$6,100.00","$14,320.00","$20,577.00","$47,136.00"
,,Large Room Totals:,,"$7,875.00","$18,100.00","$28,202.00","$62,936.00"
